A kenó nyerőszámai (7125 sorsolás adatai alapján):
1;9;12;13;15;24;27;30;31;32;35;42;47;58;59;60;68;73;74;80;
1;2;6;16;21;23;25;30;32;33;42;43;45;51;54;61;64;66;70;78;
2;3;4;11;16;18;20;29;34;35;40;42;43;51;57;71;73;78;79;80;
8;9;12;17;19;23;28;33;35;38;39;43;45;46;47;55;58;59;66;74;
2;3;5;7;11;13;18;19;22;40;52;54;55;56;57;58;59;63;66;76;
10;12;13;18;29;30;31;37;40;43;46;47;48;52;56;69;72;73;74;75;
5;7;18;19;21;24;26;28;34;36;41;54;56;59;62;66;72;75;76;79;
7;8;11;13;20;23;30;35;37;43;49;50;51;54;55;57;62;69;74;78;
3;10;13;14;20;24;27;28;29;30;33;60;64;66;74;75;77;78;79;80;
3;5;10;22;23;24;29;32;37;42;43;54;55;58;60;61;65;66;69;80;
6;12;16;22;25;32;34;36;38;43;46;49;50;52;58;66;70;74;75;76;
4;8;9;17;18;19;30;33;34;36;41;44;45;47;49;51;54;66;75;79;
4;8;16;19;22;27;30;32;34;38;49;58;61;65;69;70;71;76;77;80;
1;2;3;10;15;19;22;23;25;26;31;44;50;51;52;56;61;66;71;78;
6;7;11;13;18;20;23;29;30;33;35;39;47;62;63;64;68;71;76;80;
8;9;11;13;14;17;27;30;35;40;48;54;58;60;66;67;70;74;75;80;
4;7;17;18;21;23;25;26;28;31;38;48;51;54;60;65;69;72;76;77;
12;18;20;22;24;25;27;28;30;38;45;46;47;49;53;55;65;71;73;76;
1;5;13;14;23;29;33;46;47;49;53;54;55;60;61;63;67;68;71;75;
7;12;14;15;16;23;26;34;35;40;41;44;45;50;53;57;60;62;72;78;
1;4;6;14;17;24;30;38;44;45;46;56;57;60;61;63;64;65;67;75;
14;16;25;28;29;31;39;41;42;47;49;51;56;58;59;60;61;67;69;79;
3;4;5;9;12;13;15;20;25;30;32;39;47;48;54;57;58;61;74;78;
2;11;15;20;21;26;27;28;31;34;50;54;55;57;59;61;62;63;71;79;
2;14;23;25;29;34;36;37;38;39;40;45;49;56;64;65;67;69;71;75;
7;11;14;17;25;31;33;35;42;43;44;47;48;52;53;62;65;67;69;74;
3;4;5;14;16;22;36;38;42;45;46;47;52;59;62;64;71;75;76;80;
5;6;8;9;10;24;26;36;38;41;46;49;51;52;54;55;68;69;76;77;
5;11;18;22;24;25;26;28;34;38;47;49;51;59;62;64;67;71;75;76;
7;9;10;15;16;17;19;21;25;31;32;33;44;45;46;52;58;63;64;66;
